,rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned,pmi_x,pmi_y
2660,16454,[13C].[14C].[16C][17O][18O][15C]=[17C]=[15N],[16C][17O][18O][15C]=[17C]=[15N],COOC=C=N,0.06626143122036242,0.9947892356291502
2680,16511,[13C].[14C].[15N][16C][18O][15C]=[17C][17O],[15N][16C][18O][15C]=[17C][17O],NCOC=CO,0.23305669948872845,0.8405672986165961
2700,16640,[13C].[14C].[16C][17C](=[15C][18O])[15N][17O],[16C][17C](=[15C][18O])[15N][17O],CC(=CO)NO,0.4936100868142557,0.602793966374768
2720,16766,[13C].[14C].[16C]=[17C]=[15C][18O][15N][17O],[16C]=[17C]=[15C][18O][15N][17O],C=C=CONO,0.14835173761003034,0.9803832654735257
2740,17018,[13C].[14C].[16C][15N][17O][15C]=[17C].[18O],[16C][15N][17O][15C]=[17C],CNOC=C,0.17221913687244303,0.9654510699441444
2760,17163,[13C].[14C].[16C][17C]=[15C][17O][15N].[18O],[16C][17C]=[15C][17O][15N],CC=CON,0.07326598141892125,0.9581689898803989
2780,17303,[13C].[14C].[16C]=[17C]=[15C][17O][15N].[18O],[16C]=[17C]=[15C][17O][15N],C=C=CON,0.19964253581883756,0.8631477018283619
2800,17699,[13C].[14C].[16C].[17O]=[17C]=[15C][15N]=[18O],[17O]=[17C]=[15C][15N]=[18O],O=C=CN=O,0.14975505319254975,0.9012922713413065
2820,17803,[13C].[14C].[15C]1=[17C][17O][16C][18O][15N]1,[15C]1=[17C][17O][16C][18O][15N]1,C1=COCON1,0.5019011857513654,0.5354612714095861
2840,17884,[13C].[14C].[17O][17C]=[15C][15N]1[16C][18O]1,[17O][17C]=[15C][15N]1[16C][18O]1,OC=CN1CO1,0.09363621547234603,0.9760516330143444
2860,17994,[13C].[14C].[16C][17C]=[15C][15N][17O].[18O],[16C][17C]=[15C][15N][17O],CC=CNO,0.07684855463343024,0.9446433269684074
2880,18048,[13C].[14C].[15N][15C]=[17C][16C][17O][18O],[15N][15C]=[17C][16C][17O][18O],NC=CCOO,0.06877953080515632,0.9898055703028149
2900,19100,[13C].[14C].[15C]#[17C][18O][15N][17O].[16C],[15C]#[17C][18O][15N][17O],C#CONO,0.19863099543156149,0.8385889844214307
2920,19235,[13C].[14C].[15C]#[17C][15N][16C].[17O].[18O],[15C]#[17C][15N][16C],C#CNC,0.12101448977745222,0.9061012682223342
2940,19433,[13C].[14C].[15C]#[17C][16C][17O][15N]=[18O],[15C]#[17C][16C][17O][15N]=[18O],C#CCON=O,0.24659996341669946,0.7937813517092661
2960,20259,[13C].[14C].[15C][16C].[15N][17C][18O][17O],[15N][17C][18O][17O],NCOO,0.24549404808492972,0.8599233664576131
2980,20286,[13C].[14C].[15C][16C].[17O]=[17C]1[15N][18O]1,[17O]=[17C]1[15N][18O]1,O=C1NO1,0.20370248927930615,0.7962975107207239
3000,20338,[13C].[14C].[15C][16C][18O][15N].[17C]=[17O],[15C][16C][18O][15N],CCON,0.1639206784771107,0.9634241307768949
3020,20444,[13C].[14C].[15C][16C][17O][15N]=[17C].[18O],[15C][16C][17O][15N]=[17C],CCON=C,0.11792127248621376,0.9323899512004876
3040,20580,[13C].[14C].[15C][16C][15N]([17C])[17O].[18O],[15C][16C][15N]([17C])[17O],CCN(C)O,0.3294572537151228,0.7542788590472982
3060,20865,[13C].[14C].[15C][16C][17C].[15N][17O][18O],[15N][17O][18O],NOO,0.18939924466681118,0.8643582633224682
3080,20914,[13C].[14C].[15C][16C][17C]([15N])[18O][17O],[15C][16C][17C]([15N])[18O][17O],CCC(N)OO,0.29540735329111556,0.8213254567324568
3100,20952,[13C].[14C].[15C][16C][17C]([17O])=[15N][18O],[15C][16C][17C]([17O])=[15N][18O],CCC(O)=NO,0.42722686232847584,0.6655500727717129
3120,21675,[13C].[14C].[15C]1[16C][17O][17C]=[15N][18O]1,[15C]1[16C][17O][17C]=[15N][18O]1,C1COC=NO1,0.5410094349588395,0.5437801207955617
3140,21749,[13C].[14C].[17O]=[17C]=[15N][16C][15C][18O],[17O]=[17C]=[15N][16C][15C][18O],O=C=NCCO,0.3121843275603726,0.8230002729943321
3160,21896,[13C].[14C].[15N][17C](=[17O])[16C][15C][18O],[15N][17C](=[17O])[16C][15C][18O],NC(=O)CCO,0.17596632487786454,0.8508088638750199
3180,22250,[13C].[14C].[17O][17C][15N][16C][15C]=[18O],[17O][17C][15N][16C][15C]=[18O],OCNCC=O,0.14136370456398734,0.8808266315571172
3200,22419,[13C].[14C].[16C][15C][17O][17C][15N][18O],[16C][15C][17O][17C][15N][18O],CCOCNO,0.07308187857176364,0.9589255026819985
3220,22470,[13C].[14C].[15N]=[17C][17O][15C][16C][18O],[15N]=[17C][17O][15C][16C][18O],N=COCCO,0.225983716462267,0.8248409573941886
3240,22560,[13C].[14C].[17O][15C][16C][15N]=[17C][18O],[17O][15C][16C][15N]=[17C][18O],OCCN=CO,0.0832998082341736,0.9816018155977366
3260,23036,[13C].[14C].[16C][15C]([18O])[17O][15N][17C],[16C][15C]([18O])[17O][15N][17C],CC(O)ONC,0.23345649360391638,0.8609490058065745
