rmat_tag,pdt_smiles,frag_in_large,pdt_cleaned
1005352,[13C].[14C][15N][17C](=[17O])[18O][16C][15C],[14C][15N][17C](=[17O])[18O][16C][15C],CNC(=O)OCC
1005392,[13C].[14C][15N][18O][17C][17O][16C][15C],[14C][15N][18O][17C][17O][16C][15C],CNOCOCC
1005405,[13C].[14C][15N][17C][17O][16C][15C].[18O],[14C][15N][17C][17O][16C][15C],CNCOCC
1005408,[13C].[14C][15N]1[18O][17C]1[17O][16C][15C],[14C][15N]1[18O][17C]1[17O][16C][15C],CN1OC1OCC
1005416,[13C].[14C][15N]=[17C]([18O])[17O][16C][15C],[14C][15N]=[17C]([18O])[17O][16C][15C],CN=C(O)OCC
1005489,[13C].[14C][15N]([16C][15C])[17O][17C].[18O],[14C][15N]([16C][15C])[17O][17C],CN(CC)OC
1005492,[13C].[14C][15N]([16C][15C])[18O][17C][17O],[14C][15N]([16C][15C])[18O][17C][17O],CN(CC)OCO
1005497,[13C].[14C][15N]([18O])[16C][15C].[17C]=[17O],[14C][15N]([18O])[16C][15C],CN(O)CC
1005498,[13C].[14C][15N][16C][15C].[17O]=[17C][18O],[14C][15N][16C][15C],CNCC
1005499,[13C].[14C][15N]([16C][15C])[18O][17C]=[17O],[14C][15N]([16C][15C])[18O][17C]=[17O],CN(CC)OC=O
1005507,[13C].[14C][15N]([16C][15C])[17C][17O].[18O],[14C][15N]([16C][15C])[17C][17O],CN(CC)CO
1005509,[13C].[14C][15N]([16C][15C])[17C]([17O])[18O],[14C][15N]([16C][15C])[17C]([17O])[18O],CN(CC)C(O)O
1005510,[13C].[14C][15N]([16C][15C])[17C]1[17O][18O]1,[14C][15N]([16C][15C])[17C]1[17O][18O]1,CN(CC)C1OO1
1005512,[13C].[14C][15N]([16C][15C])[17C]=[17O].[18O],[14C][15N]([16C][15C])[17C]=[17O],CN(CC)C=O
1005513,[13C].[14C][15N]([16C][15C])[17C](=[17O])[18O],[14C][15N]([16C][15C])[17C](=[17O])[18O],CN(CC)C(=O)O
1005635,[13C].[14C][15N][18O][17C][16C][15C].[17O],[14C][15N][18O][17C][16C][15C],CNOCCC
1005646,[13C].[14C][15N][18O][17O][17C][16C][15C],[14C][15N][18O][17O][17C][16C][15C],CNOOCCC
1005649,[13C].[14C][15N]([18O])[17O][17C][16C][15C],[14C][15N]([18O])[17O][17C][16C][15C],CN(O)OCCC
1005653,[13C].[14C][15N][17O][17C]([18O])[16C][15C],[14C][15N][17O][17C]([18O])[16C][15C],CNOC(O)CC
1005654,[13C].[14C][15N]1[17O][17C]([16C][15C])[18O]1,[14C][15N]1[17O][17C]([16C][15C])[18O]1,CN1OC(CC)O1
1005661,[13C].[14C][15N][18O][17C](=[17O])[16C][15C],[14C][15N][18O][17C](=[17O])[16C][15C],CNOC(=O)CC
1005662,[13C].[14C][15N][17C][16C][15C].[17O].[18O],[14C][15N][17C][16C][15C],CNCCC
1005665,[13C].[14C][15N]([18O])[17C][16C][15C].[17O],[14C][15N]([18O])[17C][16C][15C],CN(O)CCC
1005669,[13C].[14C][15N][17C]([18O])[16C][15C].[17O],[14C][15N][17C]([18O])[16C][15C],CNC(O)CC
