rmat_tag,distance,largest_frag,largest_cleaned,LogP,MW,HBD,HBA,PSA,ROTB,FSP3,SSSR,QED
8008401,4.0,C[15C]([16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[14C@H]([15N][17C](=[17O])[18O])c1ccccc1F,CC(Cc1ccc(N2Cc3ccccc3C2=O)cc1)[C@H](NC(=O)O)c1ccccc1,5.034500000000003,400.47800000000007,2.0,2.0,69.64,6.0,0.2,4.0,0.6093605822967133
8008433,4.0,C[15C]([14C@H]([15N])c1ccccc1F)[16C@H]([18O][17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC([C@H](N)c1ccccc1)[C@H](OC=O)c1ccc(N2Cc3ccccc3C2=O)cc1,4.397200000000003,400.4780000000001,1.0,4.0,72.63,7.0,0.2,4.0,0.5969205865041635
4053748,4.0,C[15C]1[15N][14C@H](c2ccccc2F)[16C@@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1N[C@H](c2ccccc2)[C@@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,4.663600000000003,354.4530000000001,1.0,2.0,32.34,3.0,0.20833333333333334,5.0,0.7416043703685756
1006311,4.0,C[15C]([18O])[16C@H](c1ccc(N2Cc3c(F)cccc3C2=O)cc1)[17C](=[17O])[15N][14CH]c1ccccc1F,CC(O)[C@@H](C(=O)NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,3.6278000000000024,400.4780000000002,2.0,3.0,69.64,6.0,0.2,4.0,0.663919327267661
1034468,4.0,C[15C][16C@@H]([17C][17O][14C@H]([15N])c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC[C@@H](CO[C@H](N)c1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,5.014700000000005,386.4950000000002,1.0,3.0,55.56,7.0,0.24,4.0,0.5805354347923952
8009392,4.0,C[15C]([18O])([14C@H]([15N])c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(O)([C@H](N)c1ccccc1)[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1,3.5805000000000025,400.4780000000002,2.0,4.0,83.63,6.0,0.2,4.0,0.6197086726784115
1006221,4.0,C[15C]([18O][17C]=[17O])[16C@H]([15N][14CH]c1ccccc1F)c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(OC=O)[C@H](NCc1ccccc1)c1ccc(N2Cc3ccccc3C2=O)cc1,4.239400000000003,400.4780000000002,1.0,4.0,58.64,8.0,0.2,4.0,0.5748340210949083
8009390,4.0,C[15C]1([14C@H]([15N])c2ccccc2F)[18O][17C]([17O])[16C@H]1c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC1([C@H](N)c2ccccc2)OC(O)[C@H]1c1ccc(N2Cc3ccccc3C2=O)cc1,3.7379000000000033,400.4780000000002,2.0,4.0,75.79,4.0,0.24,5.0,0.6996128072556834
97709,4.0,C[15C]([15N][14CH]c1ccccc1F)[18O][17C](=[17O])[16CH]c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(NCc1ccccc1)OC(=O)Cc1ccc(N2Cc3ccccc3C2=O)cc1,4.068500000000004,400.4780000000001,1.0,4.0,58.64,7.0,0.2,4.0,0.479832829254782
1006296,4.0,C[15C]([18O][15N][14CH]c1ccccc1F)[16C@@H]([17C]=[17O])c1ccc(N2Cc3c(F)cccc3C2=O)cc1,CC(ONCc1ccccc1)[C@@H](C=O)c1ccc(N2Cc3ccccc3C2=O)cc1,4.239400000000004,400.4780000000002,1.0,4.0,58.64,8.0,0.2,4.0,0.45390464275884546
