,smiles,min_dist_all,natoms
614,C1=NC12OCO2,9.0,6
615,C=COCO,4.0,5
616,C=COCON,6.0,6
617,C=C1OCO1,5.0,5
618,C=CNOCO,6.0,6
619,C=CN1OCO1,7.0,6
620,C=C(N)OCO,6.0,6
621,C=C1NOCO1,7.0,6
622,C=C=NOCO,7.0,6
623,C1=COCO1,5.0,5
624,NC=COCO,6.0,6
625,C1=COCON1,7.0,6
626,NC1=COCO1,7.0,6
627,N=C=COCO,7.0,6
628,C1=COCON=1,8.0,6
629,NC=C1OCO1,7.0,6
630,N=C=C1OCO1,8.0,6
631,OCON1C=C1,7.0,6
632,OCOC1=CN1,7.0,6
633,C1=C2OCON12,8.0,6
634,C1OC2=C(N2)O1,8.0,6
635,OCOC1=C=N1,8.0,6
636,C#COCO,5.0,5
637,C#COCON,7.0,6
638,C#CNOCO,7.0,6
639,C#CN1OCO1,8.0,6
640,C1#COCO1,6.0,5
641,NC#COCO,7.0,6
642,C1#COCON1,8.0,6
643,OCON1C#C1,8.0,6
644,CN(C)OC=O,5.0,6
645,CNCOC=O,5.0,6
646,CN=COC=O,6.0,6
647,C=NCOC=O,6.0,6
648,CCOC=O,3.0,5
649,CCNOC=O,5.0,6
650,CC(N)OC=O,5.0,6
651,CC=NOC=O,6.0,6
652,CC(=N)OC=O,6.0,6
653,NCCOC=O,5.0,6
654,N=CCOC=O,6.0,6
655,N#CCOC=O,7.0,6
656,O=CON1CC1,6.0,6
657,O=COC1CN1,6.0,6
658,O=COC1=NC1,7.0,6
659,O=COC1C=N1,7.0,6
660,C=COC=O,3.0,5
661,C=CNOC=O,5.0,6
662,C=C(N)OC=O,5.0,6
663,C=C=NOC=O,6.0,6
664,NC=COC=O,5.0,6
665,N=C=COC=O,6.0,6
666,O=CON1C=C1,6.0,6
667,O=COC1=CN1,6.0,6
668,O=COC1=C=N1,7.0,6
669,C#COC=O,4.0,5
670,C#CNOC=O,6.0,6
671,NC#COC=O,6.0,6
672,O=CON1C#C1,7.0,6
673,CN(C)C,5.0,4
674,CN(C)CO,7.0,5
675,CN(C)COO,8.0,6
676,CN(C)C=O,6.0,5
677,CN(C)C(O)O,6.0,6
678,CN(C)C1OO1,7.0,6
679,CN(C)C(=O)O,5.0,6
680,CN1COC1,8.0,5
681,CN(CO)CO,8.0,6
682,CN1COOC1,9.0,6
683,CN1COC1O,7.0,6
684,CN(C=O)CO,7.0,6
685,CN1COC1=O,6.0,6
686,CN(C=O)C=O,8.0,6
687,CN1C2OC1O2,8.0,6
688,CCONC,5.0,5
689,CCOONC,6.0,6
690,CCON(C)O,6.0,6
691,CNOC(C)O,4.0,6
692,CC1ON(C)O1,5.0,6
693,CNOC(C)=O,3.0,6
694,CCNC,3.0,4
695,CCN(C)O,5.0,5
696,CCN(C)OO,8.0,6
697,CNC(C)O,5.0,5
698,CNC(C)OO,6.0,6
699,CC1ON1C,6.0,5
700,CC(O)N(C)O,6.0,6
701,CC1OON1C,7.0,6
702,CNC(C)=O,4.0,5
703,CC(=O)N(C)O,5.0,6
704,CNC(C)(O)O,4.0,6
705,CNC1(C)OO1,5.0,6
706,CN1OC1(C)O,5.0,6
707,CC=NC,4.0,4
708,CN=C(C)O,6.0,5
709,CN=C(C)OO,7.0,6
710,CNOCCO,6.0,6
711,CN1OCCO1,7.0,6
712,CNOC1CO1,5.0,6
713,CNOCC=O,5.0,6
714,CNCCO,5.0,5
715,CNCCOO,6.0,6
716,CN1CCO1,6.0,5
717,CN(O)CCO,6.0,6
718,CN1CCOO1,7.0,6
719,CNC1CO1,6.0,5
720,CN(O)C1CO1,7.0,6
721,CNC(O)CO,6.0,6
722,CNC1COO1,7.0,6
723,CN1OCC1O,7.0,6
724,CN1OC1CO,7.0,6
725,CNC1(O)CO1,5.0,6
726,CN1OC12CO2,6.0,6
727,CNC(=O)CO,5.0,6
728,CN1OCC1=O,6.0,6
729,CN=CCO,6.0,5
730,CN=CCOO,7.0,6
731,CN=C1CO1,7.0,5
732,CN=C(O)CO,7.0,6
733,CN=C1COO1,8.0,6
734,CNCC=O,4.0,5
735,CN(O)CC=O,5.0,6
736,CNC(O)C=O,5.0,6
737,CN1OC1C=O,6.0,6
738,CNC(=O)C=O,6.0,6
739,CN=CC=O,5.0,5
740,CN=C(O)C=O,6.0,6
741,CNCC(O)O,4.0,6
742,CNCC1OO1,5.0,6
743,CN1CC(O)O1,5.0,6
744,CNC1OC1O,5.0,6
745,CN1OC2OC21,6.0,6
746,CNC12OC1O2,6.0,6
747,CN=CC(O)O,5.0,6
748,CN=CC1OO1,6.0,6
749,CN=C1OC1O,6.0,6
750,CNCC(=O)O,3.0,6
751,CN1CC(=O)O1,4.0,6
752,CNC1OC1=O,4.0,6
753,CN=CC(=O)O,4.0,6
754,CN=c1oc1=O,5.0,6
755,CN1CC1,4.0,4
756,CN1CC1O,6.0,5
757,CN1CC1OO,7.0,6
758,CN1CC1=O,5.0,5
759,CN1CC1(O)O,5.0,6
760,CN1CC12OO2,6.0,6
761,CN1C2OC21,7.0,5
762,CN1C(O)C1O,7.0,6
763,CN1C2OOC21,8.0,6
764,CN1C2OC21O,6.0,6
765,CN1C(=O)C1O,6.0,6
766,Cn1c(=O)c1=O,7.0,6
767,CN1C23OC12O3,7.0,6
