rmat_tag,distance,largest_cleaned
3329,11.0,CCN(O)C1(C)C=CC=C(C)CO1
3331,9.0,CCNC1(CO)C=CC=C(C)CO1
3350,11.0,CCN=C(C)C=CC=C(C)COO
3354,9.0,CCN=C(C=CC=C(CO)C)CO
3360,9.0,CCN=C1C=CC=C(C)COC1
3405,11.0,C=CC=CC=C(C)COONCC
3408,11.0,C=CC=CC=C(C)CON(O)CC
3412,9.0,CCNOC=CC=CC=C(CO)C
3413,9.0,CCNOCC(=CC=CC=CO)C
3423,11.0,CCNC=CC=CC=C(C)COO
3424,11.0,CCN(O)C=CC=CC=C(CO)C
3429,9.0,CCNC(O)=CC=CC=C(CO)C
3444,11.0,C=C(C=CC=C(CO)C)ONCC
3445,11.0,C=C(O)C=CC=C(C)CONCC
3452,11.0,CCNC=C(O)C=CC=C(CO)C
3460,11.0,CCN1OC2=C1OCC(C)=CC=C2
3483,11.0,CCN1OC1=C1C=CC=C(C)CO1
3495,11.0,C=C(C=CC=C(C)COO)NCC
3496,11.0,C=C(C=CC=C(CO)C)N(O)CC
3499,11.0,C=C1C=CC=C(C)CON1CC
3501,9.0,CCNC(C=CC=C(CO)C)=CO
3508,9.0,CCNC1=COCC(C)=CC=C1
3512,9.0,CCN1OC2=C1C=CC=C(C)CO2
3582,11.0,C#CC=CC=C(C)CONCC
3644,11.0,CC=CC=C(C)C(O)ONCC
3646,12.0,CC=CC=C(C)C1ON(CC)O1
3648,10.0,CC=CC=C(C)C(OC)ONCC
3660,11.0,CC=CC=C(C)C1OCN(CC)O1
3661,9.0,CC=CC=C(C)C1OC(NCC)O1
3666,11.0,CC=CC=C(C)C(O)OC=NCC
3670,10.0,CC=CC=C(C)C1OC(=NCC)O1
3680,11.0,CCNCOC1OCC=CC=C1C
3687,12.0,CCNOC1OCC=CC=C1C
3701,11.0,CCNCC=CC=C(C)C(O)O
3702,12.0,CCNCC=CC=C(C)C1OO1
3704,12.0,CCN1CC=CC=C(C)C(O)O1
3707,11.0,CCN1CC=CC=C(C)C(OC)O1
3708,10.0,CCNCC=CC=C(C)C(O)OC
3710,9.0,CCNCC=CC=C(C)C1OCO1
3717,11.0,CCN1CC=CC=C(C)C(O)OC1
3719,10.0,CCN1CC=CC=C(C)C2OC1O2
3726,13.0,CCN1OC2OC1C=CC=C2C
3733,12.0,CCNC1C=CC=C(C)C(O)O1
3735,11.0,CCNC1C=CC=C(C)C(OC)O1
3738,12.0,CCN1COC2OC1C=CC=C2C
3741,13.0,CCNC12C=CC=C(C)C(O1)O2
3744,12.0,CCN=CC=CC=C(C)C(O)O
3745,13.0,CCN=CC=CC=C(C)C1OO1
3750,11.0,CCN=CC=CC=C(C)C(O)OC
3752,10.0,CCN=CC=CC=C(C)C1OCO1
3763,13.0,CCN=C1C=CC=C(C)C(O)O1
3765,12.0,CCN=C1C=CC=C(C)C(OC)O1
3781,10.0,CCC=CC=C(C)C(O)ONCC
3783,11.0,CCC=CC=C(C)C1ON(CC)O1
3785,9.0,CCNOC1OCCC=CC=C1C
3790,11.0,CCNCCC=CC=C(C)C1OO1
3791,11.0,CCN1CCC=CC=C(C)C(O)O1
3796,9.0,CCNC1CC=CC=C(C)C(O)O1
3797,10.0,CCN1OC2OC1CC=CC=C2C
3798,8.0,CCNC12CC=CC=C(C)C(O1)O2
3803,10.0,CCN=C1CC=CC=C(C)C(O)O1
3817,11.0,CCN=C1OC2OC1C=CC=C2C
3820,11.0,CCNOC1OC(C)C=CC=C1C
3822,11.0,CCNCC1C=CC=C(C)C(O)O1
3824,10.0,CCNC1OC2OC1C=CC=C2C
3831,13.0,CCN=CC12C=CC=C(C)C(O1)O2
3833,10.0,CCNC(C)C=CC=C(C)C(O)O
3834,11.0,CCNC(C)C=CC=C(C)C1OO1
3835,11.0,CCN1OC(O)C(C)=CC=CC1C
3838,9.0,CCNC1C=CC=C(C)C(O)OC1
3839,10.0,CCN1OC2OCC1C=CC=C2C
3842,8.0,CCNC1C=CC=C(C)C2OC1O2
3843,11.0,CCN1CC1C=CC=C(C)C(O)O
3847,10.0,CCN1C2C=CC=C(C)C(O)OC21
3851,9.0,CCN1C2C=CC=C(C)C3OC21O3
